"address","city","zip_code","sold_date","price","rooms","size","build_year","latitude","longitude"
"Vestre Ringgade 214, 1. th","Aarhus C",8000,"2018-06-10",2320000,3,70,1950,56.169323,10.1952715
"Frederiksbjerg Torv 10, 1","Aarhus C",8000,"2018-06-10",3150000,2,78,1901,56.146465,10.192236
"Marselis Boulevard 71, 1. th","Aarhus C",8000,"2018-06-10",1305000,3,64,1933,56.139576,10.193523
"Marselis Boulevard 38, 6. 606","Aarhus C",8000,"2018-06-10",4700000,3,117,1966,56.14099,10.196882
"Esther Aggebos Gade 10, 3. 1","Aarhus C",8000,"2018-06-10",2500000,2,63,2017,56.166588,10.226433
"Irma Pedersens Gade 25, 2. 2","Aarhus C",8000,"2018-06-10",2500000,2,55,2019,56.16339,10.228459
"Saltholmsgade 33, 2. tv","Aarhus C",8000,"2018-06-10",1820000,2,51,1900,56.158424,10.194907
"Vester Allé 27, 3. tv","Aarhus C",8000,"2018-06-10",3900000,3,98,1927,56.157192,10.198707
"Helga Pedersens Gade 17, 3. 3","Aarhus C",8000,"2018-06-10",3348000,3,79,2012,56.166306,10.229337
"Irma Pedersens Gade 87, 4. tv","Aarhus C",8000,"2018-06-10",8000000,4,145,2019,56.16259,10.228645
"Esther Aggebos Gade 4, 9. 1","Aarhus C",8000,"2018-06-10",5200000,3,111,2017,56.16637,10.226709
"Mejlgade 72, 4. tv","Aarhus C",8000,"2018-06-09",3550000,4,107,1931,56.160915,10.213933
"De Mezas Vej 15, 2. tv","Aarhus C",8000,"2018-06-09",1482131,2,59,1918,56.14491,10.19151
"Skovvangsvej 26A, 1. 3","Aarhus N",8200,"2018-06-09",1100000,1,42,1960,56.1762,10.202433
"Langenæs Allé 37, 1. mf","Aarhus C",8000,"2018-06-09",1780000,2,56,1968,56.14145,10.182443
"Åhusene 4, 4. 1","Aarhus C",8000,"2018-06-09",2905000,3,69,2011,56.153023,10.188655
"Barthsgade 12B, 2. tv","Aarhus N",8200,"2018-06-08",2125000,2,68,1988,56.1711,10.209502
"Kløvermarksvej 25","Aarhus N",8200,"2018-06-08",1550000,2,44,2000,56.17487,10.198056
"Dronning Margrethes Vej 21, 1. th","Aarhus N",8200,"2018-06-08",1742500,3,95,1911,56.170258,10.219389
"Edouard Suensons Gade 4, 5. a","Aarhus N",8200,"2018-06-07",1330000,1,51,1966,56.170784,10.218415
"Vestre Ringgade 214, st. th","Aarhus C",8000,"2018-06-07",2125000,3,70,1950,56.169323,10.1952715
"Thunøgade 19, st. th","Aarhus C",8000,"2018-06-07",2600000,3,110,1891,56.161198,10.205378
"Skanderborgvej 92, 1. 4","Aarhus C",8000,"2018-06-07",1525000,2,54,1943,56.139935,10.181455
"Sølystgade 55, 4","Aarhus C",8000,"2018-06-07",2075000,3,68,1896,56.16173,10.204082
"Olfert Fischers Gade 3, 2. 4","Aarhus N",8200,"2018-06-07",1645000,2,48,1943,56.174393,10.211187
"Rosenkrantzgade 12E, 1","Aarhus C",8000,"2018-06-07",2650000,2,63,1901,56.15235,10.206837
"Max Müllers Gade 5, 5. th","Aarhus C",8000,"2018-06-07",1675000,3,62,1930,56.14474,10.189663
"Max Müllers Gade 5, 5. tv","Aarhus C",8000,"2018-06-07",1675000,3,62,1930,56.14474,10.189663
"Telefonsmøgen 14, 4. tv","Aarhus C",8000,"2018-06-06",2727495,5,115,1924,56.154896,10.206426
"Janus La Cours Gade 5, 1. th","Aarhus C",8000,"2018-06-06",3165000,3,82,1928,56.157436,10.197821
"Silkeborgvej 174, 2. tv","Aarhus C",8000,"2018-06-06",1460000,2,51,1939,56.156467,10.177229
"Strandparken 35, st. th","Aarhus C",8000,"2018-06-05",3998000,4,102,1938,56.143303,10.207239
"Finderupvej 5, 3. 10","Aarhus C",8000,"2018-06-05",2150000,2,64,2009,56.154552,10.182347
"Silkeborgvej 178, 3. mf","Aarhus C",8000,"2018-06-05",1375000,1,32,1939,56.156155,10.176785
"Hjelmensgade 1, 3","Aarhus C",8000,"2018-06-05",3875000,4,120,1890,56.16155,10.210189
"Edouard Suensons Gade 3, 2. f","Aarhus N",8200,"2018-06-05",488750,2,67,1966,56.17061,10.218538
"Knudrisgade 38, 1","Aarhus C",8000,"2018-06-05",3050000,4,91,1890,56.163074,10.21409
"Thunøgade 35, st. th","Aarhus C",8000,"2018-06-05",3078000,2,81,1891,56.161034,10.204244
"Brendstrupvej 23, 1. mf","Aarhus N",8200,"2018-06-04",1510000,2,46,1967,56.174706,10.199708
"Steen Billes Torv 1, 1. tv","Aarhus N",8200,"2018-06-04",3965000,3,101,1909,56.172688,10.215168
"Jordbrovej 33, st. tv","Aarhus N",8200,"2018-06-04",1250000,2,41,1967,56.174637,10.19993
"Silkeborgvej 114, 1. th","Aarhus C",8000,"2018-07-23",1835000,2,61,1934,56.156483,10.180313
"Falstersgade 42, 2. th","Aarhus C",8000,"2018-07-23",2135000,2,51,1902,56.16417,10.199632
"Skovvejen 3, 3","Aarhus C",8000,"2018-07-23",1488000,3,88,1900,56.16366,10.216179
"Høegh-Guldbergs Gade 123, 1. th","Aarhus C",8000,"2018-07-23",2950000,3,75,1897,56.16447,10.203457
"Frederiks Allé 57, st","Aarhus C",8000,"2018-07-22",1200000,2,62,1900,56.14995,10.199005
"Kildegården 11, 3","Aarhus C",8000,"2018-07-22",5500000,4,140,1939,56.141743,10.206457
"Hjelmensgade 18, st","Aarhus C",8000,"2018-07-22",2400000,2,70,1897,56.162174,10.2092285
"Harald Jensens Plads 21, 1. tv","Aarhus C",8000,"2018-07-19",1562000,2,73,1935,56.14304,10.188207
"Sjællandsgade 1, 2. mf","Aarhus C",8000,"2018-07-19",1800000,2,41,1941,56.16102,10.20953
"Carl Blochs Gade 59, 7. mf","Aarhus C",8000,"2018-07-19",3450000,3,75,0,56.153744,10.192468
"Lillehammervej 1A, st","Aarhus N",8200,"2018-07-19",1460000,2,44,1937,56.17623,10.19245
"Sjællandsgade 83, 3. th","Aarhus C",8000,"2018-07-18",1758000,2,46,1886,56.162895,10.205327
"Skanderborgvej 7, 5. tv","Aarhus C",8000,"2018-07-18",2050000,2,50,1937,56.142616,10.1874
"Knudrisgade 45, 3","Aarhus C",8000,"2018-07-18",2950000,3,77,1895,56.163315,10.214163
"Grete Løchtes Gade 6, 2. th","Aarhus C",8000,"2018-07-18",3700000,3,99,2016,56.165726,10.22472
"Marius Simonsens Vej 15, 2. tv","Aarhus N",8200,"2018-07-18",2100000,3,69,1955,56.17587,10.204709
"Odensegade 33, 2","Aarhus C",8000,"2018-07-18",2850000,3,69,1901,56.14512,10.201535
"Bissensgade 17, 4. th","Aarhus C",8000,"2018-07-17",2248000,2,51,1925,56.15526,10.196195
"Marselisborg Allé 34, 2. tv","Aarhus C",8000,"2018-07-17",1360000,3,73,1904,56.14576,10.205581
"Ny Munkegade 93, st","Aarhus C",8000,"2018-07-17",2310000,3,64,1908,56.16425,10.200711
"Telefontorvet 4, 4. th","Aarhus C",8000,"2018-07-17",3415000,3,82,2005,56.155617,10.207114
"Steinmannsgade 8, 2. th","Aarhus C",8000,"2018-07-17",1437500,2,55,1915,56.14633,10.190662
"Jægergårdsgade 76A, 2. 1","Aarhus C",8000,"2018-07-17",3900000,3,104,2008,56.148037,10.201712
"Otte Ruds Gade 11, 1. th","Aarhus N",8200,"2018-07-16",2150000,2,65,1939,56.1713,10.218406
"Frederiksgade 9, 4. 3","Aarhus C",8000,"2018-07-15",2800000,2,78,2005,56.156067,10.20666
"Vestervang 25E, st. tv","Aarhus C",8000,"2018-07-15",2250000,2,73,1985,56.164124,10.192022
"Østboulevarden 11G, 3","Aarhus C",8000,"2018-07-15",2120000,2,59,1909,56.164333,10.213076
"Østbanetorvet 4, st. mf","Aarhus C",8000,"2018-07-14",1675000,2,57,1895,56.16363,10.215728
"Janus La Cours Gade 5, 3. tv","Aarhus C",8000,"2018-07-14",2273000,2,56,1928,56.157436,10.197821
"Knudrisgade 49, 4","Aarhus C",8000,"2018-07-13",2350000,3,69,1895,56.163433,10.214373
"Nørre Allé 88, 5. tv","Aarhus C",8000,"2018-07-12",2600000,3,73,1930,56.159107,10.201102
"Frederiks Allé 137, 3","Aarhus C",8000,"2018-07-12",1915000,2,55,1902,56.14639,10.194406
"Kriegersvej 19, 2. 7","Aarhus C",8000,"2018-07-12",2150000,2,69,1875,56.15011,10.199668
"Ceres Allé 7, 6. 3","Aarhus C",8000,"2018-07-12",5050000,4,117,2016,56.15459,10.191217
"Vestre Ringgade 224, 4. th","Aarhus C",8000,"2018-07-11",2600000,3,84,1950,56.169735,10.196487
"Skovvejen 42, st. th","Aarhus C",8000,"2018-07-11",2600000,2,66,2007,56.167835,10.218747
"Rudolph Wulffs Gade 7, st. tv","Aarhus C",8000,"2018-07-11",2537500,3,79,1950,56.14026,10.185101
"Ceres Allé 7, 5. 7","Aarhus C",8000,"2018-07-11",3650000,4,90,2016,56.15459,10.191217
"Ceresbyen 36, 4. 1","Aarhus C",8000,"2017-02-12",1900000,2,49,2017,56.156067,10.191401
"Silkeborgvej 5, 2. 2","Aarhus C",8000,"2017-02-12",1865000,2,52,2017,56.15679,10.190929
